序号,备份日期,备份类型,备份内容,备份位置,备份大小,备份人,备份状态,恢复测试,测试人,测试日期,备注
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
