序号,团队名称,项目名称,奖项名称,奖金/奖品,证书编号,领取人,领取时间,备注
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
